Bin Center (us),n/ep,err
16.48,0.000344269,3.35972e-05
16.52,0.000383614,3.54651e-05
16.56,0.000347548,3.37568e-05
16.6,0.000370499,3.48536e-05
16.64,0.00034099,3.34369e-05
16.68,0.000311482,3.19573e-05
16.72,0.000416402,3.69497e-05
16.76,0.000360663,3.43879e-05
16.8,0.000350827,3.39157e-05
16.84,0.000373778,3.50075e-05
16.88,0.000380335,3.53133e-05
16.92,0.000380335,3.53133e-05
16.96,0.000390172,3.5767e-05
17,0.000390172,3.5767e-05
17.04,0.000396729,3.60663e-05
17.08,0.00036722,3.46991e-05
17.12,0.000468862,3.92082e-05
17.16,0.000429517,3.7527e-05
17.2,0.000354105,3.40738e-05
17.24,0.000390172,3.5767e-05
17.28,0.000318039,3.2292e-05
17.32,0.000308203,3.17887e-05
17.36,0.000380335,3.53133e-05
17.4,0.000357384,3.42312e-05
17.44,0.000360663,3.43879e-05
17.48,0.000357384,3.42312e-05
17.52,0.00034099,3.34369e-05
17.56,0.000363942,3.45438e-05
17.6,0.000311482,3.19573e-05
17.64,0.0002623,2.93261e-05
17.68,0.000344269,3.35972e-05
17.72,0.000354105,3.40738e-05
17.76,0.000324597,3.26232e-05
17.8,0.00031476,3.21251e-05
17.84,0.000295088,3.1105e-05
17.88,0.000360663,3.43879e-05
17.92,0.000337712,3.32757e-05
17.96,0.000324597,3.26232e-05
18,0.000377057,3.51607e-05
18.04,0.000337712,3.32757e-05
18.08,0.000380335,3.53133e-05
18.12,0.000334433,3.31138e-05
18.16,0.000324597,3.26232e-05
18.2,0.000321318,3.2458e-05
18.24,0.000295088,3.1105e-05
18.28,0.000281973,3.04059e-05
18.32,0.000324597,3.26232e-05
18.36,0.000331154,3.29511e-05
18.4,0.000304924,3.16191e-05
18.44,0.000324597,3.26232e-05
18.48,0.00034099,3.34369e-05
18.52,0.000321318,3.2458e-05
18.56,0.00031476,3.21251e-05
18.6,0.000360663,3.43879e-05
18.64,0.000331154,3.29511e-05
18.68,0.00034099,3.34369e-05
18.72,0.000304924,3.16191e-05
18.76,0.00034099,3.34369e-05
18.8,0.000337712,3.32757e-05
18.84,0.00031476,3.21251e-05
18.88,0.00031476,3.21251e-05
18.92,0.000252464,2.87709e-05
18.96,0.000327875,3.27875e-05
19,0.000275415,3.00503e-05
19.04,0.000291809,3.09317e-05
19.08,0.000308203,3.17887e-05
19.12,0.000245906,2.83948e-05
19.16,0.000281973,3.04059e-05
19.2,0.000324597,3.26232e-05
19.24,0.000272137,2.98709e-05
19.28,0.000308203,3.17887e-05
19.32,0.000291809,3.09317e-05
19.36,0.00039345,3.59169e-05
19.4,0.000249185,2.85835e-05
19.44,0.000308203,3.17887e-05
19.48,0.000301645,3.14487e-05
19.52,0.000311482,3.19573e-05
19.56,0.000318039,3.2292e-05
19.6,0.000321318,3.2458e-05
19.64,0.000327875,3.27875e-05
19.68,0.00031476,3.21251e-05
19.72,0.000321318,3.2458e-05
19.76,0.000311482,3.19573e-05
19.8,0.000281973,3.04059e-05
19.84,0.00034099,3.34369e-05
19.88,0.000252464,2.87709e-05
