Bin Center (us),n/ep,err
18.36,0.000172516,2.81193e-06
18.4,0.000168024,2.77508e-06
18.44,0.000165824,2.75686e-06
18.48,0.000169079,2.78378e-06
18.52,0.000170179,2.79282e-06
18.56,0.000166558,2.76295e-06
18.6,0.00016092,2.71578e-06
18.64,0.000158537,2.6956e-06
18.68,0.000160554,2.71269e-06
18.72,0.00016037,2.71114e-06
18.76,0.000161195,2.7181e-06
18.8,0.000163624,2.73851e-06
18.84,0.000157254,2.68467e-06
18.88,0.000153908,2.65595e-06
18.92,0.000154458,2.66069e-06
18.96,0.000155054,2.66582e-06
19,0.000156154,2.67526e-06
19.04,0.000151937,2.63889e-06
19.08,0.000151479,2.63491e-06
19.12,0.000149737,2.61972e-06
19.16,0.000152854,2.64684e-06
19.2,0.000151708,2.6369e-06
19.24,0.000150241,2.62412e-06
19.28,0.000148454,2.60847e-06
19.32,0.00014937,2.61651e-06
19.36,0.000141808,2.54941e-06
19.4,0.000143779,2.56707e-06
19.44,0.000142129,2.55229e-06
19.48,0.000141899,2.55024e-06
19.52,0.000142954,2.55969e-06
19.56,0.000141945,2.55065e-06
19.6,0.000139608,2.52956e-06
19.64,0.000138966,2.52374e-06
19.68,0.000138783,2.52207e-06
19.72,0.000143045,2.56051e-06
19.76,0.000134154,2.47965e-06
19.8,0.000139699,2.53039e-06
19.84,0.000134979,2.48727e-06
19.88,0.000136216,2.49864e-06
19.92,0.000130991,2.45025e-06
19.96,0.00013365,2.47499e-06
20,0.000135437,2.49149e-06
20.04,0.000132458,2.46393e-06
20.08,0.000134154,2.47965e-06
20.12,0.000129525,2.4365e-06
20.16,0.000129479,2.43607e-06
20.2,0.00012957,2.43693e-06
20.24,0.000130945,2.44982e-06
20.28,0.000126912,2.4118e-06
20.32,0.000127508,2.41746e-06
20.36,0.000126225,2.40526e-06
20.4,0.000130441,2.4451e-06
20.44,0.000125491,2.39826e-06
20.48,0.000124987,2.39344e-06
20.52,0.000125354,2.39695e-06
20.56,0.000129387,2.4352e-06
20.6,0.000122054,2.36519e-06
20.64,0.000121366,2.35852e-06
20.68,0.000121916,2.36385e-06
20.72,0.000119579,2.34108e-06
20.76,0.000120541,2.35049e-06
20.8,0.000121504,2.35985e-06
20.84,0.000122833,2.37272e-06
20.88,0.000115591,2.30172e-06
20.92,0.000114216,2.28799e-06
20.96,0.00011825,2.32804e-06
21,0.00011715,2.31718e-06
21.04,0.000119304,2.33839e-06
21.08,0.000116187,2.30764e-06
21.12,0.000114033,2.28615e-06
21.16,0.000116095,2.30673e-06
21.2,0.000109541,2.24067e-06
21.24,0.000112108,2.26677e-06
21.28,0.000113895,2.28477e-06
21.32,0.000112429,2.27001e-06
21.36,0.000110595,2.25143e-06
21.4,0.0001078,2.22279e-06
21.44,0.00011385,2.28431e-06
21.48,0.000109725,2.24255e-06
21.52,0.000108258,2.22751e-06
21.56,0.00010647,2.20904e-06
21.6,0.000109908,2.24442e-06
21.64,0.000111466,2.26028e-06
21.68,0.000106425,2.20857e-06
21.72,0.000109404,2.23927e-06
21.76,0.00010537,2.1976e-06
21.8,0.000103125,2.17406e-06
21.84,0.000101704,2.15903e-06
21.88,0.000104775,2.19138e-06
21.92,0.000104637,2.18994e-06
21.96,0.000102575,2.16825e-06
22,0.000107112,2.21569e-06
22.04,0.000103033,2.17309e-06
22.08,0.000101795,2.16e-06
22.12,9.88621e-05,2.12865e-06
22.16,0.00010042,2.14536e-06
22.2,0.000102804,2.17067e-06
22.24,0.000102162,2.16389e-06
22.28,0.000100833,2.14977e-06
22.32,0.00010152,2.15708e-06
22.36,9.8908e-05,2.12915e-06
22.4,9.90913e-05,2.13112e-06
22.44,0.00010065,2.14781e-06
22.48,9.67997e-05,2.10633e-06
22.52,9.78538e-05,2.11777e-06
22.56,9.95955e-05,2.13653e-06
22.6,9.60205e-05,2.09784e-06
22.64,9.40497e-05,2.0762e-06
22.68,9.6158e-05,2.09934e-06
22.72,9.3408e-05,2.0691e-06
22.76,9.61122e-05,2.09884e-06
22.8,9.45997e-05,2.08226e-06
22.84,9.48288e-05,2.08478e-06
22.88,9.40955e-05,2.0767e-06
22.92,9.08413e-05,2.04048e-06
22.96,9.4508e-05,2.08125e-06
23,9.26288e-05,2.06045e-06
23.04,9.19872e-05,2.05331e-06
23.08,9.34538e-05,2.06961e-06
23.12,9.05205e-05,2.03687e-06
23.16,9.11622e-05,2.04408e-06
23.2,8.9008e-05,2.01978e-06
23.24,8.97413e-05,2.02809e-06
23.28,8.88705e-05,2.01822e-06
23.32,8.86413e-05,2.01562e-06
23.36,9.00622e-05,2.03171e-06
23.4,9.20788e-05,2.05433e-06
23.44,8.85497e-05,2.01458e-06
23.48,8.85955e-05,2.0151e-06
23.52,8.65789e-05,1.99203e-06
23.56,8.63955e-05,1.98992e-06
23.6,8.79538e-05,2.00779e-06
23.64,8.95122e-05,2.02549e-06
23.68,8.62122e-05,1.98781e-06
23.72,8.4883e-05,1.97242e-06
23.76,8.39205e-05,1.96121e-06
23.8,8.45622e-05,1.96869e-06
23.84,8.54789e-05,1.97934e-06
23.88,8.44705e-05,1.96763e-06
23.92,8.2408e-05,1.94346e-06
23.96,8.48372e-05,1.97189e-06
24,8.30039e-05,1.95047e-06
24.04,8.34622e-05,1.95585e-06
24.08,8.44705e-05,1.96763e-06
24.12,8.19955e-05,1.93859e-06
24.16,8.50664e-05,1.97455e-06
24.2,8.2408e-05,1.94346e-06
24.24,8.34164e-05,1.95531e-06
24.28,7.98872e-05,1.9135e-06
24.32,7.89706e-05,1.90249e-06
24.36,7.88789e-05,1.90139e-06
24.4,8.03455e-05,1.91898e-06
24.44,8.13539e-05,1.93099e-06
24.48,7.92455e-05,1.9058e-06
24.52,7.95205e-05,1.9091e-06
24.56,7.8558e-05,1.89752e-06
24.6,7.76414e-05,1.88641e-06
24.64,7.94747e-05,1.90855e-06
24.68,7.66331e-05,1.87412e-06
24.72,7.69081e-05,1.87748e-06
24.76,7.73664e-05,1.88307e-06
24.8,7.46164e-05,1.8493e-06
24.84,7.36081e-05,1.83676e-06
24.88,7.88331e-05,1.90083e-06
24.92,7.07664e-05,1.80096e-06
24.96,7.26456e-05,1.82471e-06
